ID,Property Title,Description,text_input,number_of_people,bedrooms,pets_allowed,property_size,shared_spaces,bathroom_type,nearby_amenities,unique_features
138,Bachelor suite in Carriage Housefor student,"Roomy, clean, furnished bachelor suite, carriage house above garage. Urban family neighborhood walking distance to shopping and restaurants. Room for parking in back for 1 vehicle. About a 15 minute walk(2km) to bus stop for connections to UBCO. A 10 minute drive by car to UBCO. The laundrymat is about 15 minute walk(1 km)","Bachelor suite in Carriage Housefor student. Roomy, clean, furnished bachelor suite, carriage house above garage. Urban family neighborhood walking distance to shopping and restaurants. Room for parking in back for 1 vehicle. About a 15 minute walk(2km) to bus stop for connections to UBCO. A 10 minute drive by car to UBCO. The laundrymat is about 15 minute walk(1 km)",1,0,unknown,unknown,unknown,unknown,"bus, store",parking
141,clean room in Abbotsford,,clean room in Abbotsford. ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
143,clean peaceful home across from the beach,,clean peaceful home across from the beach. ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,across from the beach
149,"Location, Location, Location",,"Location, Location, Location. ",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
158,Large bed/bath on UBCO bus route in North Glenmore,,Large bed/bath on UBCO bus route in North Glenmore. ,unknown,1,unknown,large,unknown,unknown,bus,unknown
164,Clean furnished queen bed small bedside dresser and side table,,Clean furnished queen bed small bedside dresser and side table. ,unknown,unknown,unknown,small,unknown,unknown,unknown,"queen bed, small bedside dresser, side table"
165,Spacious home shared with grandfather - Room A,Spacious home with workshop and lots of garden space.  Shared with happy grandfather that enjoys woodworking and gardening.,Spacious home shared with grandfather - Room A. Spacious home with workshop and lots of garden space.  Shared with happy grandfather that enjoys woodworking and gardening.,2,unknown,unknown,large,"Room A, home",unknown,unknown,"workshop, garden space"
166,Spacious home shared with grandfather - Room B,Spacious home with workshop and lots of garden space.  Shared with happy grandfather that enjoys woodworking and gardening.,Spacious home shared with grandfather - Room B. Spacious home with workshop and lots of garden space.  Shared with happy grandfather that enjoys woodworking and gardening.,2,unknown,unknown,large,"living room, workshop, garden",unknown,unknown,workshop; large garden space
168,Share 3 Bedroom 3 Bathroom House with  Senior,,Share 3 Bedroom 3 Bathroom House with  Senior. ,3,3,unknown,unknown,Senior,unknown,unknown,unknown
172,"Clean room in new house. 10 min from UBCO, 5 min from groceries. Car required, not on bus route. LGBTQ+ friendly. Choice of two rooms, only one will be rented.","Room may be available Jan 15 onwards, but awaiting confirmation.","Clean room in new house. 10 min from UBCO, 5 min from groceries. Car required, not on bus route. LGBTQ+ friendly. Choice of two rooms, only one will be rented.. Room may be available Jan 15 onwards, but awaiting confirmation.",unknown,1,unknown,unknown,unknown,unknown,"store, bus; unknown if UBCO is a bus station or nearby recreation center/pool, school or university",LGBTQ+ friendly
188,Clean room in family home in Glenrosa,,Clean room in family home in Glenrosa. ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Clean
192,"Available Sept. 15th: Private Full Basement ""Suite"" in Family Home, Lower Mission","Approx. 900sf of space all for you!  Includes large private bedroom, full private bath with tub/shower, large living room, kitchenette with sink, mini fridge, microwave and all dishes, cozy desk/study area and private entry. Close to bus stop. Quiet, family neighbourhood. Perfect for a student. Family of 4 upstairs with dog and cat (who won't be downstairs) who will respect your privacy and your need for quiet. Potential rent break if open to occasional babysitting and/or pet sitting!","Available Sept. 15th: Private Full Basement ""Suite"" in Family Home, Lower Mission. Approx. 900sf of space all for you!  Includes large private bedroom, full private bath with tub/shower, large living room, kitchenette with sink, mini fridge, microwave and all dishes, cozy desk/study area and private entry. Close to bus stop. Quiet, family neighbourhood. Perfect for a student. Family of 4 upstairs with dog and cat (who won't be downstairs) who will respect your privacy and your need for quiet. Potential rent break if open to occasional babysitting and/or pet sitting!",unknown,1,true,medium,unknown,private,bus,"kitchenette, private entry"
196,East Vancouver room,"Home in East Vancouver close to 41st and Knight so convenient to major bus routes for UBC, Langara and throughout Vancouver . The   home-owner is quite elderly and likes to spend her time at home (except Sundays when she goes to Church with her girlfriends). There is also a male room-mate who shares facilities.
The room for rent is upstairs. It is next to the bathroom, near the kitchen as well as the front door.
The home doesn't currently offer TV or internet however it could be arranged.","East Vancouver room. Home in East Vancouver close to 41st and Knight so convenient to major bus routes for UBC, Langara and throughout Vancouver . The   home-owner is quite elderly and likes to spend her time at home (except Sundays when she goes to Church with her girlfriends). There is also a male room-mate who shares facilities.
The room for rent is upstairs. It is next to the bathroom, near the kitchen as well as the front door.
The home doesn't currently offer TV or internet however it could be arranged.",unknown,unknown,unknown,unknown,"kitchen, bathroom, front door; unknown",private,bus; unknown,unknown
198,"location, location, location. 100 yards to groceries, restaurants etc","Separate entrance. Basically you’re sharing a full bsmt suite with our teen daughter. Space is newly renovated. Full cable, wifi, and all utilities included. 
Walking distance to beach, bus, restaurants , and small shopping centre.","location, location, location. 100 yards to groceries, restaurants etc. Separate entrance. Basically you’re sharing a full bsmt suite with our teen daughter. Space is newly renovated. Full cable, wifi, and all utilities included. 
Walking distance to beach, bus, restaurants , and small shopping centre.",unknown,unknown,unknown,medium,basically you’re sharing a full bsmt suite with our teen daughter,unknown,"bus, restaurant, beach, small shopping centre","separate entrance; newly renovated; full cable, wifi, and all utilities included"
205,East Vernon (near Hillview school) on acreage ROOM 1,"Room for Rent in Vernon, BC
Looking for a responsible individual to rent a room on East Vernon Road (near Hillview school). Room for rent in our home (must like dogs - 2 live here) on an acreage close to down town.
Spacious Room (13’x14’) w/double bed, closet, desk, chair, shelves, lamp, window
- Shared bathroom (with one other renter)
- Shared fridge (with one other renter)
- Shared kitchen and living room (w/TV) with landlord/company and other renter
lots of space","East Vernon (near Hillview school) on acreage ROOM 1. Room for Rent in Vernon, BC
Looking for a responsible individual to rent a room on East Vernon Road (near Hillview school). Room for rent in our home (must like dogs - 2 live here) on an acreage close to down town.
Spacious Room (13’x14’) w/double bed, closet, desk, chair, shelves, lamp, window
- Shared bathroom (with one other renter)
- Shared fridge (with one other renter)
- Shared kitchen and living room (w/TV) with landlord/company and other renter
lots of space",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
206,room in house on acreage (near hillview school) Room #2,"New furniture (since photos in the bedroom).  
We live in a magical space with gardens, dogs...farm feel, yet we are only minutes from town.","room in house on acreage (near hillview school) Room #2. New furniture (since photos in the bedroom).  
We live in a magical space with gardens, dogs...farm feel, yet we are only minutes from town.",unknown,1,true,large,unknown,unknown,"school, unknown",gardens; dogs; farm feel
208,bedroom with a nice family,"Small house with basement bedroom, with semi shared den.(we keep our freezer in the closet off the den) The person who rents this will have a bathroom 95% of the time to themselves. Nobody but the renter will be using the bathroom for bathing or showering.  Sadly the bedroom and bathroom are not on the same floor.  Renter will share our kitchen, and is welcome to enjoy our house and yard.  We have a large yard with great neighbours!","bedroom with a nice family. Small house with basement bedroom, with semi shared den.(we keep our freezer in the closet off the den) The person who rents this will have a bathroom 95% of the time to themselves. Nobody but the renter will be using the bathroom for bathing or showering.  Sadly the bedroom and bathroom are not on the same floor.  Renter will share our kitchen, and is welcome to enjoy our house and yard.  We have a large yard with great neighbours!",unknown,1,unknown,small,"kitchen, house, yard",private,unknown,"basement bedroom, semi shared den, large yard"
212,Clean bedroom with private shower in Nanaimo,"Home is beautiful, spacious and tastefully decorated. It’s located in the North Town Centre area and very close to all levels of shopping.  There is currently one cat here.","Clean bedroom with private shower in Nanaimo. Home is beautiful, spacious and tastefully decorated. It’s located in the North Town Centre area and very close to all levels of shopping.  There is currently one cat here.",1,unknown,true,large,unknown,private,store,unknown
213,Fully furnished room for Female ONLY,"A fully furnished room carpeted with side table ,dresser and study table.laundry available in the building just beside the suite. Bathroom shared .
Our building is close to skyrtrain and bus stop. We are close to school BCIT, VCC, Douglas College.","Fully furnished room for Female ONLY. A fully furnished room carpeted with side table ,dresser and study table.laundry available in the building just beside the suite. Bathroom shared .
Our building is close to skyrtrain and bus stop. We are close to school BCIT, VCC, Douglas College.",unknown,unknown,unknown,unknown,Bathroom,shared,"skyrtrain, bus stop",unknown
217,Student ready room close to the university,"Condo close to the university on two major bus routes. Is also close to amities like two parks, grocery store, coffee shops, and restaurants. The room is fully furnished with a double bed, dresser, closet, bookshelf, desk, and office chair. 
The Condo is 2 bedrooms and a shared bathroom with shower and bathtub.
The home comes with a lovely cat named Boots, it would be best if you can comfortably having a furry friend in the home.","Student ready room close to the university. Condo close to the university on two major bus routes. Is also close to amities like two parks, grocery store, coffee shops, and restaurants. The room is fully furnished with a double bed, dresser, closet, bookshelf, desk, and office chair. 
The Condo is 2 bedrooms and a shared bathroom with shower and bathtub.
The home comes with a lovely cat named Boots, it would be best if you can comfortably having a furry friend in the home.",1,2,true,unknown,unknown,shared,"park, grocery store, coffee shops, restaurants, bus","fully furnished, presence of a cat named Boots"
224,"clean bedroom with shared kitchen, laundry, tv room",spacious home with a lovely quiet backyard.  Ten minutes from shopping but -- NEED A VEHICLE --  as I am not close to the bus route.,"clean bedroom with shared kitchen, laundry, tv room. spacious home with a lovely quiet backyard.  Ten minutes from shopping but -- NEED A VEHICLE --  as I am not close to the bus route.",unknown,1,unknown,large,"kitchen, laundry, tv room",unknown,shopping; unknown,backyard
245,"Walk to KGH, bike to Okanagan College, bus to UBC","One large bedroom, furnished, shared laundry, limited access to kitchen, private bath, parking.","Walk to KGH, bike to Okanagan College, bus to UBC. One large bedroom, furnished, shared laundry, limited access to kitchen, private bath, parking.",unknown,1,unknown,large,"kitchen, laundry",private,"bus, Okanagan College",none
251,Beautiful Home in Downtown,can hold up to 12 cans of grape soda without a problem. Has optional can dispenser built-in.,Beautiful Home in Downtown. can hold up to 12 cans of grape soda without a problem. Has optional can dispenser built-in.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,built-in can dispenser
256,Bedroom for rent,"Queen sized bedroom for rent for single person. Rent includes utilities..wifi/cable ..laundry downstairs. Air conditioned. Have to love animals, as mine are very friendly. I am very easy going to live with. Looking for female University students, practicum students for Abbotsford Regional Hospital, or International students/workers, wanting to live in Abbotsford, BC. Quiet household.","Bedroom for rent. Queen sized bedroom for rent for single person. Rent includes utilities..wifi/cable ..laundry downstairs. Air conditioned. Have to love animals, as mine are very friendly. I am very easy going to live with. Looking for female University students, practicum students for Abbotsford Regional Hospital, or International students/workers, wanting to live in Abbotsford, BC. Quiet household.",1,1,true,unknown,unknown,unknown,unknown,"Queen sized, utilities included, wifi/cable, laundry downstairs, air conditioned"
258,"Walk to KGH, Bike to Okanagan College, Bus to UBC","Large west facing furnished bedroom, Private bath, Sitting or study room, Internet, Laundry, Street parking with parking pass, Desk, Mini fridge. -- No kitchen access. --  Ideal if proximty to Okanagan College, Pandosy Village, and KGH is important.  Perfect for access to KGH and Okanagan College, Groceries, Restaurants, Bus route to UBC.  Bedroom has a Queen size bed, large closet, end table, desk.  The adjoining study room has a couch, mini fridge, closet.  Private bath is tub/shower, basin, toilet, storage. This room is available for OC or UBC KGH students and anybody needing to attend the cancer clinic.  Please note; this room does not have kitchen facilities or access to the main kitchen.","Walk to KGH, Bike to Okanagan College, Bus to UBC. Large west facing furnished bedroom, Private bath, Sitting or study room, Internet, Laundry, Street parking with parking pass, Desk, Mini fridge. -- No kitchen access. --  Ideal if proximty to Okanagan College, Pandosy Village, and KGH is important.  Perfect for access to KGH and Okanagan College, Groceries, Restaurants, Bus route to UBC.  Bedroom has a Queen size bed, large closet, end table, desk.  The adjoining study room has a couch, mini fridge, closet.  Private bath is tub/shower, basin, toilet, storage. This room is available for OC or UBC KGH students and anybody needing to attend the cancer clinic.  Please note; this room does not have kitchen facilities or access to the main kitchen.",unknown,1,unknown,large,sitting room; study room,private,"bus, grocery, restaurants","furnished bedroom, private bath, desk, mini fridge, laundry facilities, street parking with parking pass, access to Okanagan College and UBC"
269,Clean bedroom in a family home in Glenmore on bus route to UBCO & downtown,3 bed roomed home in north Glenmore,Clean bedroom in a family home in Glenmore on bus route to UBCO & downtown. 3 bed roomed home in north Glenmore,unknown,3,unknown,unknown,unknown,unknown,"bus, unknown",unknown
270,Large private bedroom and large shared common space available,"A spacious suite shared with other renter in a very central area 5 minutes from downtown Kelowna, with everything you need close by! 15 minutes from UBCO, Okanagan College and the hospital and 5 minutes from all amenities ie, shopping at Orchard Park Mall, various restaurants and Parkinson Recreation Centre, with public transit within easy walking distance! Four beautiful parks close by and hiking and cycling paths! Okanagan Lake is only a 5 minute drive away and Big White Ski Resort only about 45 minutes away.","Large private bedroom and large shared common space available. A spacious suite shared with other renter in a very central area 5 minutes from downtown Kelowna, with everything you need close by! 15 minutes from UBCO, Okanagan College and the hospital and 5 minutes from all amenities ie, shopping at Orchard Park Mall, various restaurants and Parkinson Recreation Centre, with public transit within easy walking distance! Four beautiful parks close by and hiking and cycling paths! Okanagan Lake is only a 5 minute drive away and Big White Ski Resort only about 45 minutes away.",unknown,1,unknown,large,"large common space, suite",private,"bus, store, recreation centre/pool, school (UBCO, Okanagan College), university, shopping (Orchard Park Mall)","central location, public transit within easy walking distance, four beautiful parks close by, hiking and cycling paths, 5 minute drive to Okanagan Lake, 45 minutes from Big White Ski Resort"
272,Glenmore Home - Great Location! Couples welcome,"$650 - Single Occupancy
$950 - Double Occupancy (couples)

Large home in Glenmore near Yates Road. Shared with an energetic grandmother. Entire upstairs of home will be yours, private bathroom and living room. Great central location, 8 minutes by bus to UBCO or downtown.

Fully furnished
Private washroom
Utilities and internet included
Parking available","Glenmore Home - Great Location! Couples welcome. $650 - Single Occupancy
$950 - Double Occupancy (couples)

Large home in Glenmore near Yates Road. Shared with an energetic grandmother. Entire upstairs of home will be yours, private bathroom and living room. Great central location, 8 minutes by bus to UBCO or downtown.

Fully furnished
Private washroom
Utilities and internet included
Parking available",2,unknown,unknown,large,an energetic grandmother,private,"bus, UBCO or downtown","fully furnished, parking available"
284,Guest Room,"Looking for longer term tenants (over 3 months).

Large, bright 2 bedroom apartment with hardwood floors quiet area.  Close to White Rock town centre , transit,  and Peace Arch Hospital, 25 min walk to the beach. Laundry included in rent , street parking.","Guest Room. Looking for longer term tenants (over 3 months).

Large, bright 2 bedroom apartment with hardwood floors quiet area.  Close to White Rock town centre , transit,  and Peace Arch Hospital, 25 min walk to the beach. Laundry included in rent , street parking.",unknown,2,unknown,large,unknown,unknown,"bus, store, Peace Arch Hospital","hardwood floors, laundry included in rent, street parking"
295,Rosemary Heights  Large Guest Suite,"I have a 4 bedroom house in Rosemary Height a very safe community with lots of amenities.  I live and work from home running my own business.  
The basement area would be all yours,  it includes a large bright bedroom, your own bath room and a generous Living area.  
We would be sharing a modern kitchen.","Rosemary Heights  Large Guest Suite. I have a 4 bedroom house in Rosemary Height a very safe community with lots of amenities.  I live and work from home running my own business.  
The basement area would be all yours,  it includes a large bright bedroom, your own bath room and a generous Living area.  
We would be sharing a modern kitchen.",unknown,4,unknown,large,kitchen,private,unknown,unknown
296,"Modern 2 bedroom, furnished basement suite beside hospital, roommate wanted for adult daughter","Private entrance, large modern kitchen, living room, large shared bathroom with lots of cupboards,  large storage area, large laundry room, cable and utilities","Modern 2 bedroom, furnished basement suite beside hospital, roommate wanted for adult daughter. Private entrance, large modern kitchen, living room, large shared bathroom with lots of cupboards,  large storage area, large laundry room, cable and utilities",2,2,unknown,large,living room,private,hospital,large kitchen; large storage area; large laundry room
299,Beautiful Modern Master Bedroom with Ensuite Bathroom - Close to UBCO,"Located in beautiful Lake Country, quiet and safe, family oriented neighbourhood.  Close to bus route to UBCO (12 minute ride), groceries and amenities.  A great area for people who love the outdoors! Located near hiking and cycling trails.  Beautiful bright room with lots of natural light, a huge closet with a private en suite bathroom.  Use of den with desk, lamp and chair, perfect for studying.","Beautiful Modern Master Bedroom with Ensuite Bathroom - Close to UBCO. Located in beautiful Lake Country, quiet and safe, family oriented neighbourhood.  Close to bus route to UBCO (12 minute ride), groceries and amenities.  A great area for people who love the outdoors! Located near hiking and cycling trails.  Beautiful bright room with lots of natural light, a huge closet with a private en suite bathroom.  Use of den with desk, lamp and chair, perfect for studying.",unknown,1,unknown,unknown,"den, possibly study area",private,"bus, store","huge closet, natural light"
302,"Queen bedroom with tv, desk, dresser and closet in warm, clean, spacious home near Skytrain","We live in a spacious four-bedroom, three-bath home in the Edmonds area of Burnaby.  We are a four minute walk to the bus that takes you to Edmonds skytrain station in less than 10 minutes.  Or you can walk to Edmonds station in under 20 minutes.  We have a beautiful community centre with gym, swimming pool and various classes close by.  We are a family of three, a professional mom, and two sons 18 & 20 and we really enjoy hosting and meeting new people from all over the world.","Queen bedroom with tv, desk, dresser and closet in warm, clean, spacious home near Skytrain. We live in a spacious four-bedroom, three-bath home in the Edmonds area of Burnaby.  We are a four minute walk to the bus that takes you to Edmonds skytrain station in less than 10 minutes.  Or you can walk to Edmonds station in under 20 minutes.  We have a beautiful community centre with gym, swimming pool and various classes close by.  We are a family of three, a professional mom, and two sons 18 & 20 and we really enjoy hosting and meeting new people from all over the world.",3,4,unknown,large,unknown,unknown,"bus, Skytrain station, community centre with gym and swimming pool","Queen bedroom with tv, desk, dresser and closet"
309,Highly recommended by departing student,"I have been hosting students for 15 years. Furnished bedroom w/ private bath, friendly little dog, quiet building. Bedding provided, if required.  We share the kitchen and common areas.  Very close to Orchard Park Mall and the bus. Outdoor parking available.  In the past, I have shared the cost of food with students and I do the cooking of the main meal/lunch for both of us. References please.","Highly recommended by departing student. I have been hosting students for 15 years. Furnished bedroom w/ private bath, friendly little dog, quiet building. Bedding provided, if required.  We share the kitchen and common areas.  Very close to Orchard Park Mall and the bus. Outdoor parking available.  In the past, I have shared the cost of food with students and I do the cooking of the main meal/lunch for both of us. References please.",1,1,true,unknown,"kitchen, common areas",private,"bus, Orchard Park Mall",outdoor parking
310,Single Room Available in Shared Accommodation,"Full furnished beautiful room, large fully equipped kitchen, all utilities included.  Beautiful large shared back yard, with BBQ and garden.  On bus route to UBCO & downtown.  Close to stores, parks, restaurants.  Close to walking and biking routes.","Single Room Available in Shared Accommodation. Full furnished beautiful room, large fully equipped kitchen, all utilities included.  Beautiful large shared back yard, with BBQ and garden.  On bus route to UBCO & downtown.  Close to stores, parks, restaurants.  Close to walking and biking routes.",unknown,unknown,unknown,large,"living room, kitchen, back yard",unknown,"bus, store, park, restaurant","fully equipped kitchen, large shared back yard with BBQ and garden"
313,Room 2,"Three bedroom modern basement suite - large windows, large modern kitchen, two bathrooms,  laundry, storage","Room 2. Three bedroom modern basement suite - large windows, large modern kitchen, two bathrooms,  laundry, storage",unknown,3,unknown,large,unknown,private,unknown,"large windows, large modern kitchen, laundry, storage"
325,"Large, private bedroom and large common space, minutes to everywhere!","A very large, clean private bedroom for rent, with a very large common room, kitchen and bathroom with shower (share with one other renter(s), and shared insuite laundry. Home is close to all amenities ie.  5 minutes to downtown, Orchard Park Mall and Okanagan Lake, with walking and hiking paths and gorgeous views! Public transit is only a 3 minute walk away. UBC and OK College only 15 minutes away! Utilities and street parking included!","Large, private bedroom and large common space, minutes to everywhere!. A very large, clean private bedroom for rent, with a very large common room, kitchen and bathroom with shower (share with one other renter(s), and shared insuite laundry. Home is close to all amenities ie.  5 minutes to downtown, Orchard Park Mall and Okanagan Lake, with walking and hiking paths and gorgeous views! Public transit is only a 3 minute walk away. UBC and OK College only 15 minutes away! Utilities and street parking included!",unknown,1,unknown,large,"common space, kitchen, bathroom, laundry",private (with one other renter),"bus, store, recreation centre/pool, school and university, downtown, Orchard Park Mall, Okanagan Lake, walking and hiking paths",gorgeous views
342,Queen Bedroom,,Queen Bedroom. ,unknown,1,unknown,unknown,unknown,unknown,unknown,Queen Bedroom
351,Room with private bath for rent,"Student ready! Furnished bedroom with office desk for rent; utilities included.  This walk-in condo is situated one block north of Mission Creek Greenway and one block from the beach.  It is close to restaurants, take out, bus stops and has a gym, new infrared sauna and outdoor pool on the property.  Private bathroom.  I am a quiet, non-smoking working professional.  No pets, please.","Room with private bath for rent. Student ready! Furnished bedroom with office desk for rent; utilities included.  This walk-in condo is situated one block north of Mission Creek Greenway and one block from the beach.  It is close to restaurants, take out, bus stops and has a gym, new infrared sauna and outdoor pool on the property.  Private bathroom.  I am a quiet, non-smoking working professional.  No pets, please.",1,1,false,unknown,unknown,private,"bus, store, gym, pool",office desk; utilities included; walk-in condo; close to restaurants and beach
352,Clean furnished room with walkin closet close to Okanagan College,"Fourth floor apartment 1 1/2 years old. Full kitchen to share as well as in-suite laundry area.
Bright and clean. City Transit Bus stops K.L.O. Road at entrance to community. 2.5km to Okanagan College.","Clean furnished room with walkin closet close to Okanagan College. Fourth floor apartment 1 1/2 years old. Full kitchen to share as well as in-suite laundry area.
Bright and clean. City Transit Bus stops K.L.O. Road at entrance to community. 2.5km to Okanagan College.",unknown,unknown,unknown,medium,"kitchen, laundry area",unknown,"bus, Okanagan College","walkin closet, fourth floor, 1 1/2 years old"
