ID,Property Title,Description,City,Province,Postal Code,Number Of People,Number Of Pets,Bathroom Occupants,Price,Utilities Fees,Total,Available From,Status,Property Type,Property Size,Space Type,Host Prefers,Facilities,Household Items,Occupants,Furnishing Level,Furnishings,Bed Type,Safety Features,Amenities,House Rules,Shared Spaces,Bathroom Type,City_clean
36,"Private room with Family (Mom and Son) in Vernon, B.C",,Vernon,BC,V1H 1R2,,,1,528.0,72.0,648.0,2019-09-01,deleted,House,,,,"['Shared hot tub', 'Common lounge']","['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Drawers', 'Lamp']",Queen bed,['Smoke Detector'],"['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Fenced yard', 'Blow dryer', 'Kitchenware', 'Iron', 'Blow dryer']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Vernon
37,Room in Fernwood,,Victoria,BC,V8R 1L6,,,1,627.0,85.0,768.96,2020-09-01,draft,House,,,,,,,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Hangers', 'Closet', 'Drawers', 'Lamp']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Fireplace', 'wifi', 'Window covering', 'Fenced yard', 'Kitchenware', 'Iron']","['No smoking', 'No alcohol', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Victoria
40,Clean room in Rutland,"Available December 15, 2024.  Room available has single bed, custom built in desk, closet & drawers.  Rec room with fireplace would be for your tv viewing.  Shared kitchen & laundry facilities.  Quiet neighborhood and close to amenities.",Kelowna,BC,V1X 1M5,,,1,775.0,0.0,837.0,2022-02-01,draft,Townhouse,,,,"['Gym', 'Common lounge', 'Onsite management']","['Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Drawers', 'Lamp']",Single bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Fenced yard', 'Kitchenware', 'Iron']","['No alcohol', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Kelowna
41,,,,,,,,1,781.0,107.0,959.04,2019-08-01,deleted,Other,,,,,,,,,,,,,,,
42,,,,,,,,1,704.0,96.0,864.0,2019-08-01,deleted,Other,,,,,,,,,,,,,,,
43,Room 2 rent in Glenmore,,Kelowna,BC,V1V 1S9,,,1,585.0,80.0,718.2,2020-08-29,draft,House,,,,,"['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent']",,,"['Bedding', 'Blankets', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Drawers', 'Lamp', 'Fridge']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Window covering', 'Fenced yard', 'Kitchenware', 'Iron']","['No smoking', 'Keep spaces clean', 'Notice on visitors']",,,Kelowna
47,Clean furnished room,,Abbotsford,BC,V3G 2H6,,,1,585.0,80.0,718.2,2019-08-01,draft,House,,,,,['Dish Detergent'],,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Television', 'Drawers', 'Lamp', 'Fridge']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Fenced yard', 'Private entry', 'Kitchenware', 'Iron', 'Blow dryer']","['No alcohol', 'Keep spaces clean']",,,Abbotsford
48,,,,,,,,1,195.0,27.0,239.76,2019-09-01,deleted,Other,,,,,,,,,,,,,,,
49,Old English Heritage suite,,Kelowna,BC,V1Y 2Z5,,,1,773.0,105.0,948.24,2019-09-01,draft,Suite,,,,"['Shared hot tub', 'Common lounge', 'Onsite management']","['Pantry Items', 'Condiments', 'Dish Detergent']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Television', 'Closet', 'Drawers', 'Fridge']",Queen bed,"['Smoke Detector', 'Carbon Monoxide Detector', 'Door lock']","['Free parking on site', 'Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Fenced yard', 'Private entry', 'Kitchenware']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Kelowna
50,Clean and good location,,Abbotsford,BC,V2S 5L7,,,1,543.0,74.0,666.36,2022-02-01,listed,House,,,,['Common lounge'],['Condiments'],,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Closet', 'Lamp']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Fireplace', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Fenced yard', 'Blow dryer', 'Kitchenware']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay"", 'Scent free']",,,Abbotsford
52,,,,,,,,1,1056.0,144.0,1296.0,2019-09-01,deleted,Other,,,,,,,,,,,,,,,
53,,,,,,,,1,88.0,12.0,108.0,2019-08-01,deleted,Other,,,,,,,,,,,,,,,
55,,,,,,,,1,880.0,120.0,1080.0,2019-09-01,deleted,Other,,,,,,,,,,,,,,,
56,Queen bedroom,,Kelowna,BC,V1Y 7H3,,,1,616.0,84.0,756.0,2020-01-01,draft,Suite,,,,,"['Pantry Items', 'Dish Detergent']",,,"['Bedding', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Drawers']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock']","['Free parking on site', 'Street parking', 'Stove and oven', 'Fridge', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Fenced yard', 'Private entry', 'Kitchenware']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Kelowna
58,View bedroom close to amenities in one person household,,Kelowna,BC,V1X 6Y9,,,1,616.0,84.0,756.0,2019-09-01,deleted,Apartment,,,,['Elevator'],"['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Closet', 'Drawers', 'Lamp']",Queen bed,['Smoke Detector'],"['Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Tv', 'Window covering', 'Kitchenware', 'Iron', 'Blow dryer']","['Quiet hours', 'No shoes inside', 'Keep spaces clean', ""Policy on visitor's stay""]",,,Kelowna
60,"Clean bright room in an amazing location, minutes from the beach, Okanagan College, Mission Greenway, H2O Center, and on a main bus route",,Kelowna,BC,V1W 3G5,,,1,669.0,91.0,820.8,2019-09-01,draft,Apartment,,,,"['Gym', 'Swimming pool', 'Sauna', 'Common lounge', 'Onsite management', 'Elevator']","['Pantry Items', 'Condiments', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Hangers', 'Television', 'Closet', 'Drawers', 'Lamp']",Double bed,"['Smoke Detector', 'First aid kit']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Cable / Satellite', 'Tv', 'Window covering', 'Kitchenware', 'Iron']","['No smoking', 'Quiet hours', 'Keep spaces clean']",,,Kelowna
62,Central E Room,,Edmonton,AB,T5H 4M7,,,1,660.0,90.0,810.0,2019-08-01,draft,Townhouse,,,,['Onsite management'],"['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Closet', 'Drawers', 'Fridge']",Queen bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock']","['Free parking on site', 'Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Window covering', 'Kitchenware']","['No smoking', 'Quiet hours', 'No shoes inside', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay""]",,,Edmonton
64,Cozy room in Townhouse in Rutland near main bus routes,"Quiet Family Complex, this townhouse is clean and newly renovated. Already roommates in basement suite sometime use kitchen upstairs. Everyone is quiet. 
1 deck at the front and one balcony in the rear. 
Situated in North Rutland close to buses, shopping and amenities.",Kelowna,BC,V1X 2G3,,,1,598.0,82.0,734.4,2019-09-01,draft,Townhouse,,,,,['Dish Detergent'],,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Closet', 'Drawers', 'Lamp']",Double bed,"['Fire Extinguisher', 'Smoke Detector', 'First aid kit']","['Street parking', 'Stove and oven', 'Fridge', 'Dishwasher', 'Washer', 'Dryer', 'Fireplace', 'wifi', 'Tv', 'Window covering', 'Kitchenware']","['No smoking', 'No alcohol', 'Quiet hours', 'Keep spaces clean', 'Notice on visitors', ""Policy on visitor's stay"", 'Scent free']",,,Kelowna
65,Furnished room near UBCO,"Available September 1st. Looking for a student to share the house. Single occupancy. Furnished room. Quiet house. Shared kitchen and utensils. Includes electricity, WIFI, water and indoor laundry. House is located a block away from bus station to UBCO. 8 min. bus to UBCO. A few blocks away from YMCA-Rutland. When applying kindly provide a description about yourself and a recent picture.",Kelowna,BC,V1X 2P1,,,1,800.0,0.0,864.0,2021-09-01,draft,House,,,,,['Dish Detergent'],,,"['Desk', 'Hangers', 'Closet', 'Drawers', 'Lamp']",Single bed,"['Smoke Detector', 'Carbon Monoxide Detector', 'Door lock']","['Free parking on site', 'Stove and oven', 'Fridge', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'wifi', 'Window covering', 'Fenced yard', 'Private entry', 'Kitchenware']","['No smoking', 'No alcohol', 'Quiet hours', ""Policy on visitor's stay""]",,,Kelowna
68,,,,,,,,1,1232.0,168.0,1512.0,2019-09-01,deleted,Other,,,,,,,,,,,,,,,
79,Secluded Mansion,,Kelowna,BC,V1W 3B5,,,1,1254.0,171.0,1539.0,2019-09-01,draft,House,,,,"['Gym', 'Swimming pool', 'Shared hot tub', 'Sauna', 'Common lounge', 'Storage locker', 'Onsite management', 'Elevator']","['Pantry Items', 'Condiments', 'Laundry Detergent', 'Dish Detergent', 'Toilet Paper']",,,"['Bedding', 'Blankets', 'Towels', 'Pillows', 'Desk', 'Hangers', 'Television', 'Closet', 'Drawers', 'Lamp', 'Fridge']",King bed,"['Fire Extinguisher', 'Smoke Detector', 'Carbon Monoxide Detector', 'First aid kit', 'Door lock', 'Security alarm']","['Free parking on site', 'Stove and oven', 'Fridge', 'Dishwasher', 'Microwave', 'Washer', 'Dryer', 'Air conditioner', 'Fireplace', 'wifi', 'Cable / Satellite', 'Tv', 'Swimming pool', 'Window covering', 'Private entry', 'Blow dryer', 'Kitchenware', 'Iron', 'Blow dryer']","['Notice on visitors', ""Policy on visitor's stay""]",,,Kelowna
